Date,SOI_annual
1951,-0.2750
1952,-0.008333333
1953,-0.408333333
1954,0.45
1955,1.025
1956,1.091666667
1957,-0.175
1958,-0.15
1959,0.141666667
1960,0.5
1961,0.183333333
1962,0.533333333
1963,-0.041666667
1964,0.616666667
1965,-0.508333333
1966,-0.216666667
1967,0.475
1968,0.391666667
1969,-0.35
1970,0.475
1971,1.108333333
1972,-0.483333333
1973,0.741666667
1974,1.1
1975,1.333333333
1976,0.316666667
1977,-0.633333333
1978,-0.066666667
1979,0.141666667
1980,-0.066666667
1981,0.241666667
1982,-0.875
1983,-0.758333333
1984,0.141666667
1985,0.283333333
1986,-0.083333333
1987,-0.933333333
1988,0.816666667
1989,0.708333333
1990,-0.116666667
1991,-0.575
1992,-0.825
1993,-0.65
1994,-0.825
1995,-0.016666667
1996,0.675
1997,-0.733333333
1998,-0.025
1999,0.85
2000,0.85
2001,0.258333333
2002,-0.325
2003,-0.091666667
2004,-0.258333333
2005,-0.183333333
2006,0.025
2007,0.266666667
2008,1.125
2009,0.166666667
2010,0.908333333
2011,1.4
2012,0.133333333
2013,0.45
2014,-0.133333333
2015,-0.791666667
2016,-0.191666667